brand,model_name,ram_gb,storage_gb,screen_size_inch,has_5g,main_camera_mp,price_vnd,product_url,collected_at
Apple,iPhone Air,12.0,256.0,6.5,,,22990000,https://fptshop.com.vn/dien-thoai/iphone-air-256gb,2026-08-07T14:33:45.273760
Samsung,Samsung Galaxy Z Fold8 5G 12GB,12.0,256.0,7.6,1.0,50.0,46990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-z-fold8,2026-08-07T14:33:47.581113
TCL,TCL 60R 5G 4GB,4.0,128.0,6.7,1.0,50.0,2990000,https://fptshop.com.vn/dien-thoai/tcl-60r?sku=00918547,2026-08-07T14:33:51.151653
Xiaomi,Xiaomi Poco X7 5G 12GB,12.0,512.0,6.67,1.0,,7490000,https://fptshop.com.vn/dien-thoai/xiaomi-poco-x7,2026-08-07T14:33:53.821894
Apple,iPhone 16,8.0,256.0,6.1,,,23490000,https://fptshop.com.vn/dien-thoai/iphone-16-256gb,2026-08-07T14:33:56.917129
Xiaomi,Xiaomi POCO C81 Pro 4GB,4.0,128.0,6.9,0.0,13.0,3890000,https://fptshop.com.vn/dien-thoai/xiaomi-poco-c81-pro,2026-08-07T14:34:00.363133
Oppo,OPPO A6T 6GB,6.0,256.0,6.75,,13.0,8090000,https://fptshop.com.vn/dien-thoai/oppo-a6t-6gb?sku=00924549,2026-08-07T14:34:03.509824
Honor,Honor X7d 8GB,8.0,128.0,6.77,,108.0,6090000,https://fptshop.com.vn/dien-thoai/honor-x7d,2026-08-07T14:34:09.210629
Oppo,Oppo Find X9s 5G 12GB,12.0,256.0,6.59,1.0,,24990000,https://fptshop.com.vn/dien-thoai/oppo-find-x9s?sku=00928167,2026-08-07T14:34:12.165449
Samsung,Samsung Galaxy A26 5G,8.0,128.0,6.7,1.0,50.0,6990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a26,2026-08-07T14:34:14.369311
Samsung,Samsung Galaxy A07 5G 4GB,4.0,128.0,6.74,1.0,50.0,5090000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a07-5g,2026-08-07T14:34:19.969237
Xiaomi,Xiaomi 17T Pro 5G 12GB,12.0,512.0,6.83,1.0,50.0,22490000,https://fptshop.com.vn/dien-thoai/xiaomi-17t-pro,2026-08-07T14:34:26.461508
